
===== Deductive Fault Simulator Final Summary =====
97 total fault nets found
net 1 stuck at 0
net 2 stuck at 1
net 3 stuck at 0
net 4 stuck at 1
net 5 stuck at 1
net 6 stuck at 1
net 7 stuck at 1
net 8 stuck at 1
net 9 stuck at 1
net 10 stuck at 1
net 11 stuck at 0
net 12 stuck at 1
net 13 stuck at 0
net 14 stuck at 1
net 15 stuck at 0
net 16 stuck at 1
net 25 stuck at 0
net 26 stuck at 1
net 27 stuck at 0
net 28 stuck at 1
net 29 stuck at 1
net 30 stuck at 1
net 31 stuck at 1
net 32 stuck at 1
net 33 stuck at 1
net 34 stuck at 1
net 35 stuck at 0
net 36 stuck at 1
net 37 stuck at 0
net 38 stuck at 1
net 39 stuck at 0
net 40 stuck at 1
net 41 stuck at 0
net 42 stuck at 0
net 43 stuck at 1
net 44 stuck at 0
net 45 stuck at 0
net 46 stuck at 0
net 47 stuck at 0
net 48 stuck at 0
net 49 stuck at 0
net 50 stuck at 0
net 51 stuck at 1
net 52 stuck at 0
net 53 stuck at 1
net 54 stuck at 1
net 55 stuck at 1
net 56 stuck at 1
net 57 stuck at 1
net 58 stuck at 0
net 60 stuck at 0
net 62 stuck at 0
net 64 stuck at 1
net 65 stuck at 1
net 66 stuck at 0
net 67 stuck at 1
net 68 stuck at 0
net 69 stuck at 1
net 70 stuck at 1
net 71 stuck at 1
net 72 stuck at 1
net 73 stuck at 1
net 74 stuck at 1
net 109 stuck at 0
net 111 stuck at 0
net 113 stuck at 0
net 115 stuck at 0
net 116 stuck at 1
net 118 stuck at 1
net 120 stuck at 0
net 121 stuck at 1
net 123 stuck at 0
net 124 stuck at 1
net 126 stuck at 0
net 127 stuck at 0
net 128 stuck at 1
net 129 stuck at 1
net 130 stuck at 1
net 131 stuck at 1
net 133 stuck at 0
net 134 stuck at 1
net 135 stuck at 1
net 137 stuck at 0
net 138 stuck at 1
net 171 stuck at 0
net 173 stuck at 0
net 174 stuck at 1
net 176 stuck at 0
net 177 stuck at 1
net 178 stuck at 1
net 179 stuck at 0
net 180 stuck at 0
net 181 stuck at 0
net 183 stuck at 0
net 187 stuck at 1
net 188 stuck at 1
net 189 stuck at 1
