
===== Deductive Fault Simulator Final Summary =====
137 total fault nets found
net 1 stuck at 0
net 2 stuck at 0
net 3 stuck at 0
net 4 stuck at 0
net 5 stuck at 0
net 6 stuck at 0
net 7 stuck at 0
net 8 stuck at 1
net 9 stuck at 0
net 10 stuck at 1
net 11 stuck at 0
net 12 stuck at 1
net 13 stuck at 0
net 14 stuck at 1
net 15 stuck at 0
net 25 stuck at 1
net 26 stuck at 1
net 27 stuck at 1
net 28 stuck at 0
net 29 stuck at 0
net 30 stuck at 0
net 31 stuck at 0
net 32 stuck at 0
net 33 stuck at 1
net 34 stuck at 0
net 35 stuck at 1
net 36 stuck at 1
net 37 stuck at 0
net 38 stuck at 1
net 39 stuck at 0
net 40 stuck at 0
net 41 stuck at 1
net 42 stuck at 1
net 43 stuck at 1
net 44 stuck at 0
net 45 stuck at 1
net 46 stuck at 0
net 47 stuck at 1
net 48 stuck at 1
net 49 stuck at 1
net 50 stuck at 1
net 51 stuck at 0
net 52 stuck at 0
net 53 stuck at 0
net 54 stuck at 0
net 55 stuck at 0
net 56 stuck at 0
net 57 stuck at 0
net 58 stuck at 1
net 59 stuck at 1
net 61 stuck at 0
net 62 stuck at 1
net 63 stuck at 1
net 65 stuck at 0
net 66 stuck at 0
net 67 stuck at 1
net 68 stuck at 0
net 69 stuck at 1
net 70 stuck at 0
net 71 stuck at 0
net 72 stuck at 0
net 74 stuck at 0
net 75 stuck at 0
net 76 stuck at 1
net 77 stuck at 1
net 78 stuck at 0
net 79 stuck at 1
net 80 stuck at 1
net 81 stuck at 0
net 82 stuck at 1
net 83 stuck at 1
net 84 stuck at 0
net 85 stuck at 1
net 86 stuck at 1
net 87 stuck at 0
net 88 stuck at 1
net 89 stuck at 1
net 90 stuck at 0
net 91 stuck at 1
net 92 stuck at 1
net 93 stuck at 0
net 94 stuck at 0
net 95 stuck at 0
net 96 stuck at 1
net 97 stuck at 0
net 99 stuck at 0
net 102 stuck at 0
net 103 stuck at 0
net 105 stuck at 0
net 108 stuck at 1
net 109 stuck at 1
net 110 stuck at 1
net 111 stuck at 1
net 112 stuck at 1
net 113 stuck at 1
net 114 stuck at 1
net 115 stuck at 1
net 116 stuck at 0
net 117 stuck at 0
net 130 stuck at 1
net 131 stuck at 1
net 133 stuck at 0
net 134 stuck at 1
net 135 stuck at 1
net 137 stuck at 0
net 138 stuck at 1
net 143 stuck at 1
net 144 stuck at 1
net 145 stuck at 1
net 150 stuck at 1
net 151 stuck at 1
net 152 stuck at 1
net 157 stuck at 1
net 158 stuck at 1
net 159 stuck at 1
net 162 stuck at 1
net 163 stuck at 1
net 164 stuck at 1
net 165 stuck at 1
net 166 stuck at 1
net 167 stuck at 0
net 168 stuck at 1
net 169 stuck at 0
net 171 stuck at 0
net 173 stuck at 0
net 174 stuck at 0
net 175 stuck at 0
net 177 stuck at 0
net 180 stuck at 1
net 181 stuck at 1
net 182 stuck at 1
net 183 stuck at 1
net 184 stuck at 1
net 185 stuck at 1
net 186 stuck at 1
net 187 stuck at 0
net 188 stuck at 0
